@relation 'data-weka.filters.unsupervised.attribute.Remove-R3,14-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute age numeric
@attribute workclass {State-gov,Self-emp-not-inc,Private,Federal-gov,Local-gov,Self-emp-inc,Without-pay,Never-worked}
@attribute education {Bachelors,HS-grad,11th,Masters,9th,Some-college,Assoc-acdm,Assoc-voc,7th-8th,Doctorate,Prof-school,5th-6th,10th,1st-4th,Preschool,12th}
@attribute education-num numeric
@attribute marital-status {Never-married,Married-civ-spouse,Divorced,Married-spouse-absent,Separated,Married-AF-spouse,Widowed}
@attribute occupation {Adm-clerical,Exec-managerial,Handlers-cleaners,Prof-specialty,Other-service,Sales,Craft-repair,Transport-moving,Farming-fishing,Machine-op-inspct,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute relationship {Not-in-family,Husband,Wife,Own-child,Unmarried,Other-relative}
@attribute race {White,Black,Asian-Pac-Islander,Amer-Indian-Eskimo,Other}
@attribute sex {Male,Female}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {<=50K,>50K}

@data
31,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,4101,0,40,<=50K
30,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,<=50K
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,<=50K
48,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,<=50K
30,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
36,Private,11th,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,8,<=50K
44,Private,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,0,0,40,<=50K
39,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,50,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,<=50K
50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,>50K
57,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
32,State-gov,Some-college,10,Never-married,Tech-support,Husband,Black,Female,0,0,40,<=50K
24,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,<=50K
37,Private,7th-8th,4,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,<=50K
60,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,2042,40,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,<=50K
19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,<=50K
56,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
59,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
86,Private,1st-4th,2,Widowed,Adm-clerical,Husband,Black,Female,0,0,40,<=50K
33,Private,HS-grad,9,Divorced,Other-service,Husband,White,Female,0,0,40,<=50K
28,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,<=50K
32,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,<=50K
37,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,>50K
39,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,<=50K
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,<=50K
18,Private,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,<=50K
27,Private,Bachelors,13,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,40,<=50K
60,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,<=50K
26,State-gov,Some-college,10,Never-married,Prof-specialty,Husband,Black,Male,0,0,15,<=50K
24,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,<=50K
33,Private,7th-8th,4,Widowed,Machine-op-inspct,Own-child,White,Female,0,0,40,<=50K
39,Private,HS-grad,9,Divorced,Other-service,Husband,White,Female,0,0,40,<=50K
58,Private,Assoc-voc,11,Married-civ-spouse,Sales,Wife,White,Female,0,0,25,<=50K
42,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,>50K
60,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,72,<=50K
28,Self-emp-not-inc,HS-grad,9,Married-AF-spouse,Other-service,Wife,White,Female,0,0,20,<=50K
32,Private,Bachelors,13,Never-married,Exec-managerial,Husband,White,Female,0,0,56,>50K
23,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,<=50K
64,Private,1st-4th,2,Widowed,Adm-clerical,Husband,White,Female,0,0,20,<=50K
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,>50K
51,Private,Some-college,10,Widowed,Prof-specialty,Husband,White,Female,3325,0,40,<=50K
17,Private,11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0,15,<=50K
24,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,<=50K
34,Private,Some-college,10,Divorced,Adm-clerical,Husband,White,Male,0,0,40,<=50K
58,Private,7th-8th,4,Separated,Adm-clerical,Husband,Black,Female,0,0,40,<=50K
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,<=50K
30,Private,Doctorate,16,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,16,>50K
64,Private,Some-college,10,Divorced,Tech-support,Husband,Black,Female,0,1741,36,<=50K
45,Private,Some-college,10,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,32,<=50K
20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,<=50K
18,Self-emp-not-inc,11th,7,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
28,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,7688,0,40,<=50K
38,Local-gov,HS-grad,9,Never-married,Exec-managerial,Husband,White,Male,0,0,6,<=50K
41,Private,10th,6,Married-civ-spouse,Other-service,Wife,White,Female,0,0,24,<=50K
62,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,3942,0,40,<=50K
27,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Husband,White,Male,0,2339,52,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
22,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,<=50K
55,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,<=50K
40,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
26,Private,Bachelors,13,Never-married,Tech-support,Husband,White,Male,0,2444,40,>50K
47,Federal-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,>50K
25,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,<=50K
22,Private,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Male,0,0,35,<=50K
31,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,<=50K
34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,<=50K
50,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K
42,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,60,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,48,<=50K
53,Private,HS-grad,9,Widowed,Exec-managerial,Husband,White,Female,0,0,40,<=50K
22,Local-gov,Some-college,10,Never-married,Prof-specialty,Husband,White,Female,0,0,40,<=50K
40,Private,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,32,<=50K
47,Private,Preschool,1,Never-married,Craft-repair,Not-in-family,Other,Male,0,0,45,<=50K
36,Private,HS-grad,9,Never-married,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,0,40,<=50K
29,Private,Some-college,10,Never-married,Exec-managerial,Husband,White,Male,0,0,50,<=50K
17,Self-emp-not-inc,12th,8,Never-married,Sales,Own-child,White,Male,0,0,40,<=50K
38,Private,Bachelors,13,Separated,Prof-specialty,Husband,White,Male,0,0,65,<=50K
35,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,35,<=50K
42,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,55,<=50K
33,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Husband,White,Male,0,0,70,<=50K
52,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,<=50K
20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,<=50K
53,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0,0,30,<=50K
70,Self-emp-not-inc,Bachelors,13,Widowed,Prof-specialty,Husband,White,Female,0,0,40,<=50K
19,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Husband,White,Male,0,0,60,<=50K
35,Private,Bachelors,13,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,40,<=50K
39,Private,HS-grad,9,Divorced,Handlers-cleaners,Husband,White,Female,0,0,40,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,>50K
46,Private,10th,6,Married-civ-spouse,Other-service,Wife,White,Female,0,0,24,<=50K
77,Private,Bachelors,13,Widowed,Adm-clerical,Husband,White,Female,0,0,10,<=50K
28,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,<=50K
25,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,<=50K
58,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,10,<=50K
40,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,0,0,40,<=50K
25,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,<=50K
54,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,<=50K
24,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Male,0,0,40,<=50K
49,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,<=50K
67,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,3456,0,48,>50K
61,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
48,Private,HS-grad,9,Separated,Prof-specialty,Other-relative,Other,Female,0,0,40,<=50K
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,<=50K
21,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,<=50K
46,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,<=50K
78,Private,Masters,14,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,<=50K
24,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,<=50K
58,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,<=50K
53,Private,12th,8,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,50,<=50K
59,Private,11th,7,Never-married,Machine-op-inspct,Husband,White,Male,0,0,60,<=50K
38,Local-gov,11th,7,Married-civ-spouse,Other-service,Husband,Black,Female,0,0,50,<=50K
74,Local-gov,Masters,14,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,<=50K
38,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Male,0,0,50,<=50K
24,Private,HS-grad,9,Separated,Other-service,Husband,White,Female,0,0,30,<=50K
36,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,<=50K
24,Private,Assoc-voc,11,Never-married,Sales,Husband,White,Male,0,0,50,<=50K
69,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,<=50K
20,Private,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,40,<=50K
50,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,<=50K
60,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,<=50K
39,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Other,Female,0,0,40,<=50K
27,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,<=50K
54,Private,HS-grad,9,Divorced,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,60,<=50K
51,Private,7th-8th,4,Widowed,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,0,0,48,<=50K
42,Private,Some-college,10,Divorced,Exec-managerial,Husband,White,Male,0,0,50,<=50K
27,Self-emp-not-inc,Assoc-acdm,12,Never-married,Prof-specialty,Husband,White,Female,0,0,78,<=50K
22,Private,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,40,<=50K
62,Private,HS-grad,9,Widowed,Adm-clerical,Husband,White,Female,0,0,8,<=50K
29,Local-gov,Bachelors,13,Never-married,Prof-specialty,Husband,White,Female,0,0,40,<=50K
48,Self-emp-not-inc,Some-college,10,Separated,Sales,Husband,White,Female,0,0,50,<=50K
40,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,35,<=50K
58,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,<=50K
22,Private,Some-college,10,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,0,0,32,<=50K
28,Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Husband,White,Male,2174,0,40,<=50K
55,Private,1st-4th,2,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,<=50K
27,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,White,Male,0,0,40,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,<=50K
37,State-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
45,Private,HS-grad,9,Widowed,Adm-clerical,Husband,White,Female,0,0,8,<=50K
31,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
40,Local-gov,HS-grad,9,Never-married,Protective-serv,Husband,White,Male,0,0,48,<=50K
43,Private,HS-grad,9,Never-married,Adm-clerical,Husband,White,Female,8614,0,40,<=50K
72,Private,Some-college,10,Widowed,Adm-clerical,Husband,White,Female,0,0,12,<=50K
46,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,<=50K
53,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,60,<=50K
26,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,40,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,<=50K
44,Private,10th,6,Never-married,Machine-op-inspct,Husband,Black,Female,0,0,40,<=50K
30,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,1504,40,<=50K
17,Private,11th,7,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,<=50K
38,Private,Assoc-acdm,12,Divorced,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,0,0,40,>50K
51,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
26,Private,Some-college,10,Divorced,Adm-clerical,Husband,White,Female,0,0,40,<=50K
18,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,<=50K
39,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
27,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
20,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,<=50K
39,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,<=50K
68,Private,5th-6th,3,Widowed,Other-service,Husband,White,Female,0,0,40,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,<=50K
25,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,Black,Male,0,0,45,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,>50K
27,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,<=50K
39,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,<=50K
56,Private,Bachelors,13,Widowed,Prof-specialty,Husband,White,Male,2176,0,65,<=50K
25,Private,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,<=50K
37,State-gov,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,<=50K
25,Private,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,25,<=50K
46,Private,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,0,0,40,<=50K
40,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,>50K
31,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,<=50K
65,Private,Masters,14,Separated,Exec-managerial,Husband,Black,Male,0,0,45,<=50K
43,Private,12th,8,Divorced,Priv-house-serv,Husband,White,Female,0,0,35,<=50K
26,Private,Bachelors,13,Never-married,Tech-support,Husband,White,Male,0,2444,40,>50K
81,Private,7th-8th,4,Separated,Adm-clerical,Husband,Black,Male,0,0,8,<=50K
24,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,<=50K
62,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,<=50K
41,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7298,0,60,>50K
58,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,35,<=50K
27,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,<=50K
29,Private,Some-college,10,Never-married,Adm-clerical,Husband,White,Female,3674,0,28,<=50K
45,Private,11th,7,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,40,<=50K
56,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,<=50K
22,Private,Some-college,10,Married-AF-spouse,Sales,Wife,White,Female,0,0,25,<=50K
55,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Female,0,0,45,<=50K
22,Private,HS-grad,9,Never-married,Other-service,Other-relative,Other,Female,0,0,40,<=50K
33,Private,Bachelors,13,Divorced,Prof-specialty,Husband,White,Female,0,0,40,<=50K
26,Private,HS-grad,9,Never-married,Machine-op-inspct,Husband,Black,Female,0,0,40,<=50K
42,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,<=50K
39,Local-gov,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,42,<=50K
57,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,>50K
19,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,<=50K
34,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,<=50K
30,Private,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,0,0,45,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,<=50K
32,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Husband,White,Female,0,0,50,<=50K
48,Private,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,<=50K
47,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,40,<=50K
28,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Other,Male,5013,0,40,<=50K
34,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,25,>50K
39,Local-gov,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,<=50K
39,Private,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,0,0,40,<=50K
48,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,<=50K
21,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,50,<=50K
24,Private,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,20,<=50K
37,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,52,>50K
27,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
51,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
31,Private,HS-grad,9,Divorced,Sales,Husband,White,Male,2202,0,48,<=50K
70,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
41,Federal-gov,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,<=50K
60,Private,Some-college,10,Divorced,Exec-managerial,Husband,White,Female,0,0,40,<=50K
73,Private,5th-6th,3,Widowed,Adm-clerical,Husband,White,Female,0,0,40,<=50K
44,Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,<=50K
27,Private,HS-grad,9,Divorced,Other-service,Husband,White,Male,0,0,40,<=50K
59,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
49,Private,Some-college,10,Divorced,Sales,Husband,White,Female,0,0,55,<=50K
50,Private,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,White,Female,0,0,32,<=50K
18,Self-emp-inc,12th,8,Never-married,Other-service,Own-child,White,Female,0,0,8,<=50K
22,Private,HS-grad,9,Never-married,Adm-clerical,Husband,White,Male,0,0,48,<=50K
19,Private,Some-college,10,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,15,<=50K
40,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,>50K
23,Local-gov,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,48,<=50K
21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,25,<=50K
