@relation 'data-weka.filters.unsupervised.attribute.Remove-R3,9,14'

@attribute age numeric
@attribute workclass {'?',Federal-gov,Local-gov,Never-worked,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay}
@attribute education {10th,11th,12th,1st-4th,5th-6th,7th-8th,9th,Assoc-acdm,Assoc-voc,Bachelors,Doctorate,HS-grad,Masters,Preschool,Prof-school,Some-college}
@attribute education-num numeric
@attribute marital-status {Divorced,Married-AF-spouse,Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed}
@attribute occupation {'?',Adm-clerical,Armed-Forces,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty,Protective-serv,Sales,Tech-support,Transport-moving}
@attribute relationship {Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {<=50K,>50K}

@data
66,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,1411,40,<=50K
40,Private,Bachelors,13,Divorced,Sales,Husband,Male,0,0,40,<=50K
42,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,>50K
72,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Female,0,0,40,<=50K
43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,40,<=50K
65,Private,5th-6th,3,Widowed,Other-service,Husband,Female,0,0,16,<=50K
33,State-gov,Masters,14,Never-married,Prof-specialty,Husband,Male,0,0,11,<=50K
25,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,20,<=50K
22,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,<=50K
46,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,30,<=50K
59,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,<=50K
25,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Female,0,0,50,<=50K
30,Private,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,Male,0,0,40,<=50K
46,Private,11th,7,Separated,Machine-op-inspct,Not-in-family,Female,0,0,40,<=50K
34,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,60,<=50K
39,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,13,<=50K
51,Local-gov,10th,6,Married-spouse-absent,Prof-specialty,Husband,Female,0,0,40,<=50K
56,State-gov,HS-grad,9,Divorced,Adm-clerical,Husband,Female,0,0,35,<=50K
56,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,1902,50,>50K
36,Private,HS-grad,9,Never-married,Sales,Husband,Female,0,0,40,<=50K
64,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,Female,0,0,40,<=50K
40,Private,HS-grad,9,Divorced,Adm-clerical,Husband,Female,0,0,40,<=50K
24,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,Female,0,0,45,<=50K
45,Private,Assoc-voc,11,Never-married,Other-service,Husband,Female,0,0,40,<=50K
20,Private,Some-college,10,Married-civ-spouse,Sales,Wife,Female,0,0,40,<=50K
33,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Male,0,0,40,<=50K
22,Private,Some-college,10,Never-married,Transport-moving,Husband,Male,0,0,20,<=50K
50,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,65,<=50K
28,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,Male,0,0,30,<=50K
24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Male,13550,0,28,>50K
48,Private,Some-college,10,Never-married,Craft-repair,Husband,Female,0,0,40,<=50K
61,Private,Masters,14,Married-civ-spouse,Sales,Wife,Female,0,0,40,<=50K
17,Private,10th,6,Never-married,Other-service,Own-child,Female,0,0,21,<=50K
34,Private,11th,7,Separated,Sales,Own-child,Female,0,0,20,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
44,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Female,0,0,40,<=50K
50,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
45,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,<=50K
38,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,<=50K
51,State-gov,Some-college,10,Divorced,Tech-support,Husband,Female,0,0,40,<=50K
37,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,5178,0,40,>50K
27,Private,Some-college,10,Never-married,Other-service,Husband,Female,0,0,40,<=50K
35,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,<=50K
51,Private,HS-grad,9,Divorced,Adm-clerical,Husband,Female,0,0,40,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
49,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,<=50K
33,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,55,<=50K
40,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Female,0,0,40,<=50K
35,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,56,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,30,<=50K
22,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Female,0,0,40,<=50K
58,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,40,<=50K
36,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,7688,0,48,>50K
47,Private,Bachelors,13,Divorced,Exec-managerial,Husband,Female,0,0,48,<=50K
34,Private,9th,5,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
37,Private,Assoc-acdm,12,Never-married,Exec-managerial,Husband,Female,0,0,40,>50K
21,Private,10th,6,Married-civ-spouse,Sales,Wife,Female,0,0,40,<=50K
37,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
49,Federal-gov,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1902,24,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Male,0,0,8,<=50K
46,Without-pay,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1887,30,<=50K
47,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,40,<=50K
55,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,<=50K
34,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Other-relative,Female,0,0,50,<=50K
52,Private,Some-college,10,Divorced,Exec-managerial,Husband,Male,0,0,40,>50K
28,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,<=50K
49,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,25,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Female,0,0,40,<=50K
42,Private,Some-college,10,Separated,Prof-specialty,Not-in-family,Male,0,2231,50,>50K
24,Private,HS-grad,9,Never-married,Other-service,Own-child,Female,594,0,40,<=50K
26,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,<=50K
37,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,<=50K
28,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,>50K
48,Private,10th,6,Widowed,Machine-op-inspct,Husband,Male,0,0,40,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
47,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,>50K
42,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,38,<=50K
66,Private,HS-grad,9,Widowed,Tech-support,Husband,Female,0,0,18,<=50K
31,Federal-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,<=50K
45,Private,Assoc-voc,11,Divorced,Exec-managerial,Husband,Male,0,0,50,>50K
17,Private,10th,6,Never-married,Other-service,Own-child,Male,0,0,40,<=50K
19,Private,11th,7,Separated,Craft-repair,Own-child,Male,0,0,40,<=50K
26,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,Male,0,0,40,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,<=50K
48,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,Male,0,0,50,<=50K
62,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
27,Private,Some-college,10,Never-married,Other-service,Husband,Female,0,0,8,<=50K
25,Private,Bachelors,13,Married-civ-spouse,Other-service,Own-child,Male,0,0,50,<=50K
19,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,12,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,44,<=50K
18,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,12,<=50K
52,Federal-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Male,0,0,60,>50K
58,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,<=50K
46,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,<=50K
67,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,<=50K
46,Private,Some-college,10,Never-married,Exec-managerial,Husband,Female,0,0,40,<=50K
38,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,60,<=50K
52,Private,Some-college,10,Married-civ-spouse,Sales,Wife,Female,0,0,25,<=50K
44,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,99999,0,40,>50K
42,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Female,0,1902,45,<=50K
68,Local-gov,7th-8th,4,Widowed,Other-service,Husband,Female,0,0,20,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,Female,0,0,30,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,32,<=50K
44,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,Male,0,0,40,<=50K
17,Private,12th,8,Never-married,Other-service,Own-child,Female,0,0,8,<=50K
26,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,35,<=50K
23,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Male,0,0,25,<=50K
49,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,Male,0,0,35,<=50K
17,Private,9th,5,Never-married,Other-service,Own-child,Male,0,0,24,<=50K
29,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,<=50K
56,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,<=50K
45,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Wife,Male,0,0,50,>50K
47,Private,Some-college,10,Separated,Other-service,Husband,Female,0,0,40,<=50K
45,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,<=50K
23,Private,HS-grad,9,Never-married,Handlers-cleaners,Husband,Male,0,0,35,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Female,0,0,40,<=50K
33,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,56,<=50K
17,Private,11th,7,Never-married,Other-service,Own-child,Male,0,0,12,<=50K
44,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
31,Private,HS-grad,9,Never-married,Farming-fishing,Husband,Male,0,0,20,<=50K
45,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,4386,0,40,<=50K
34,State-gov,HS-grad,9,Divorced,Adm-clerical,Husband,Female,0,0,35,<=50K
51,Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,30,<=50K
34,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Female,0,1887,45,<=50K
50,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,7298,0,40,<=50K
35,Private,12th,8,Never-married,Machine-op-inspct,Husband,Female,0,0,40,<=50K
30,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,Male,2885,0,75,<=50K
27,Private,Bachelors,13,Never-married,Prof-specialty,Other-relative,Female,0,0,40,<=50K
43,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Male,0,0,35,<=50K
44,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,60,<=50K
49,Local-gov,Some-college,10,Divorced,Exec-managerial,Husband,Male,0,0,42,>50K
57,Local-gov,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,<=50K
40,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,Female,0,0,20,<=50K
61,Self-emp-not-inc,HS-grad,9,Widowed,Craft-repair,Not-in-family,Male,0,0,20,<=50K
38,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Wife,Female,0,0,40,<=50K
24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,28,<=50K
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,Male,0,0,40,>50K
56,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,48,<=50K
48,Private,HS-grad,9,Widowed,Prof-specialty,Husband,Female,0,0,60,<=50K
30,Private,HS-grad,9,Divorced,Sales,Husband,Female,0,0,35,<=50K
65,Local-gov,Some-college,10,Widowed,Exec-managerial,Husband,Male,6360,0,40,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
33,Private,Some-college,10,Never-married,Other-service,Not-in-family,Male,0,0,57,<=50K
53,Private,HS-grad,9,Divorced,Machine-op-inspct,Husband,Male,0,0,38,<=50K
29,Federal-gov,HS-grad,9,Divorced,Tech-support,Own-child,Female,0,0,40,<=50K
26,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,38,<=50K
70,Local-gov,10th,6,Married-civ-spouse,Other-service,Husband,Male,2228,0,40,<=50K
40,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Female,0,0,48,<=50K
51,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Female,0,0,40,<=50K
57,Local-gov,10th,6,Widowed,Other-service,Husband,Female,0,0,24,<=50K
50,Private,Assoc-voc,11,Divorced,Tech-support,Husband,Female,0,0,64,<=50K
24,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,48,>50K
51,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,15,<=50K
32,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,40,<=50K
24,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Husband,Female,0,0,60,<=50K
27,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Husband,Female,0,0,40,<=50K
58,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,Male,0,0,40,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
34,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
34,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,<=50K
40,Private,11th,7,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,<=50K
43,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
42,Private,Some-college,10,Never-married,Transport-moving,Husband,Male,0,0,20,<=50K
28,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,<=50K
60,Private,Some-college,10,Widowed,Adm-clerical,Husband,Female,0,0,20,<=50K
59,Local-gov,11th,7,Married-civ-spouse,Other-service,Husband,Male,0,0,40,<=50K
33,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,1485,40,<=50K
24,Private,HS-grad,9,Never-married,Craft-repair,Husband,Male,0,0,40,<=50K
21,Private,9th,5,Married-civ-spouse,Other-service,Own-child,Female,0,0,40,<=50K
29,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Male,0,0,45,<=50K
55,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,38,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,<=50K
51,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
31,Private,HS-grad,9,Married-AF-spouse,Farming-fishing,Wife,Female,0,0,25,<=50K
50,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,3103,0,40,<=50K
42,Private,Bachelors,13,Divorced,Exec-managerial,Husband,Female,0,0,45,>50K
27,Private,HS-grad,9,Never-married,Other-service,Husband,Male,0,0,40,<=50K
69,Private,5th-6th,3,Widowed,Priv-house-serv,Not-in-family,Female,0,0,40,<=50K
35,Local-gov,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,37,<=50K
24,Private,10th,6,Never-married,Sales,Husband,Male,0,0,49,<=50K
51,Private,Some-college,10,Married-civ-spouse,Tech-support,Wife,Female,0,0,40,<=50K
19,Private,Some-college,10,Never-married,Tech-support,Own-child,Male,0,1719,16,<=50K
38,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,40,<=50K
42,Private,HS-grad,9,Divorced,Adm-clerical,Husband,Male,0,0,48,<=50K
77,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
20,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,20,<=50K
31,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,12,<=50K
28,Local-gov,9th,5,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
43,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,1902,50,<=50K
35,Private,Some-college,10,Divorced,Prof-specialty,Husband,Female,0,0,40,<=50K
26,Private,Some-college,10,Divorced,Exec-managerial,Other-relative,Female,0,0,10,<=50K
57,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,<=50K
50,Private,HS-grad,9,Separated,Craft-repair,Husband,Female,0,0,40,<=50K
36,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Male,2829,0,40,<=50K
35,Private,11th,7,Divorced,Craft-repair,Husband,Male,0,0,40,<=50K
24,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Female,0,0,40,<=50K
50,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,<=50K
50,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
26,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,Male,0,0,55,<=50K
44,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,Female,0,0,40,<=50K
52,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,<=50K
35,Private,HS-grad,9,Divorced,Exec-managerial,Husband,Female,0,0,40,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,<=50K
27,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Male,0,0,45,<=50K
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,2415,40,>50K
21,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,20,<=50K
21,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,40,<=50K
26,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,35,<=50K
44,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,<=50K
38,Private,Bachelors,13,Never-married,Sales,Husband,Female,0,0,40,<=50K
17,Self-emp-not-inc,11th,7,Never-married,Prof-specialty,Own-child,Female,0,0,2,<=50K
