@relation test_miss-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute age numeric
@attribute workclass {Local-gov,Private,State-gov,Self-emp-inc,Federal-gov,Self-emp-not-inc,Never-worked,Without-pay}
@attribute fnlwgt numeric
@attribute education {7th-8th,HS-grad,Bachelors,Masters,Some-college,Prof-school,10th,1st-4th,11th,5th-6th,Assoc-voc,Doctorate,12th,Assoc-acdm,Preschool,9th}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Separated,Widowed,Never-married,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Farming-fishing,Craft-repair,Adm-clerical,Prof-specialty,Sales,Other-service,Protective-serv,Transport-moving,Machine-op-inspct,Tech-support,Exec-managerial,Handlers-cleaners,Priv-house-serv,Armed-Forces}
@attribute relationship {Husband,Wife,Own-child,Not-in-family,Other-relative}
@attribute race {White,Black,Asian-Pac-Islander,Other,Amer-Indian-Eskimo}
@attribute sex {Male,Female}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Iran,Puerto-Rico,El-Salvador,Haiti,Mexico,Scotland,Cuba,Philippines,Trinadad&Tobago,Canada,Peru,Laos,Dominican-Republic,England,Poland,Japan,Vietnam,Ecuador,Columbia,Germany,Italy,South,France,India,Honduras,China,Greece,Jamaica,Taiwan,Guatemala,Portugal,Nicaragua,Outlying-US(Guam-USVI-etc),Cambodia,Hungary,Ireland,Hong}
@attribute class {<=50K,>50K}

@data
34,Self-emp-not-inc,121577,Some-college,10,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,50,United-States,<=50K
52,Private,250866,Some-college,10,Divorced,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
28,Private,142863,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
49,Local-gov,120655,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
41,Private,107871,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,<=50K
42,Private,302193,Some-college,10,Separated,Prof-specialty,Not-in-family,White,Male,0,2231,50,Canada,>50K
24,Private,129766,HS-grad,9,Never-married,Other-service,Own-child,White,Female,594,0,40,United-States,<=50K
26,Local-gov,43247,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
37,Local-gov,101409,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,111511,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
48,Private,310656,10th,6,Widowed,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,66575,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
47,Private,119458,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
42,Private,222701,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,38,Mexico,<=50K
66,Private,107488,HS-grad,9,Widowed,Tech-support,Husband,White,Female,0,0,18,United-States,<=50K
31,Federal-gov,139405,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
45,Private,93847,Assoc-voc,11,Divorced,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
17,Private,235669,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,262443,11th,7,Separated,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
26,Private,125578,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
27,Private,123041,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
29,Private,328067,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,40,Hong,<=50K
48,Private,462118,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
62,Private,144376,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,102689,Some-college,10,Never-married,Other-service,Husband,Black,Female,0,0,8,United-States,<=50K
25,Private,226901,Bachelors,13,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,50,United-States,<=50K
19,Private,181391,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
33,Private,153061,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,44,Mexico,<=50K
18,Private,273844,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
52,Federal-gov,19892,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,>50K
58,Private,240377,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
46,Self-emp-not-inc,192856,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
67,Private,299318,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,190061,Some-college,10,Never-married,Exec-managerial,Husband,White,Female,0,0,40,United-States,<=50K
38,Self-emp-not-inc,332764,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States,<=50K
52,Private,30679,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,25,United-States,<=50K
44,Private,330765,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,40,United-States,>50K
42,State-gov,305306,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,1902,45,United-States,<=50K
68,Local-gov,243513,7th-8th,4,Widowed,Other-service,Husband,White,Female,0,0,20,United-States,<=50K
31,Private,112450,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,30,United-States,<=50K
31,Private,160197,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,32,United-States,<=50K
44,Private,171272,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Male,0,0,40,Iran,<=50K
17,Private,190139,12th,8,Never-married,Other-service,Own-child,White,Female,0,0,8,United-States,<=50K
26,Private,98622,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,United-States,<=50K
23,Private,95868,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,25,United-States,<=50K
49,Private,180896,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,Mexico,<=50K
17,Private,325272,9th,5,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States,<=50K
29,Private,195134,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
56,Local-gov,255563,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
45,Self-emp-inc,368708,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Male,0,0,50,United-States,>50K
47,Private,34435,Some-college,10,Separated,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
45,Private,220744,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
23,Private,127095,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Male,0,0,35,United-States,<=50K
41,Private,138568,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
33,Private,46282,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
17,Private,182767,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
44,Private,133951,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
31,Private,241992,HS-grad,9,Never-married,Farming-fishing,Husband,White,Male,0,0,20,United-States,<=50K
45,Private,281377,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,40,United-States,<=50K
34,State-gov,113294,HS-grad,9,Divorced,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,0,0,35,United-States,<=50K
51,Self-emp-not-inc,152413,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
34,Private,22793,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,0,1887,45,United-States,<=50K
50,Federal-gov,100521,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,<=50K
35,Private,288982,12th,8,Never-married,Machine-op-inspct,Husband,Black,Female,0,0,40,United-States,<=50K
30,Private,120748,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,2885,0,75,Mexico,<=50K
27,Private,290282,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,<=50K
43,Private,183481,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
44,Local-gov,121483,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,60,United-States,<=50K
49,Local-gov,209494,Some-college,10,Divorced,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K
57,Local-gov,21630,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,57142,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,20,United-States,<=50K
61,Self-emp-not-inc,186245,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Male,0,0,20,United-States,<=50K
38,Self-emp-not-inc,32799,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,United-States,<=50K
24,Private,209254,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,United-States,<=50K
35,Private,112964,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,40,United-States,>50K
56,Private,82773,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
48,Private,46602,HS-grad,9,Widowed,Prof-specialty,Husband,Other,Female,0,0,60,Puerto-Rico,<=50K
30,Private,149910,HS-grad,9,Divorced,Sales,Husband,White,Female,0,0,35,United-States,<=50K
65,Local-gov,231158,Some-college,10,Widowed,Exec-managerial,Husband,White,Male,6360,0,40,United-States,<=50K
36,Private,217996,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
31,Private,186242,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
33,Private,234987,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,57,United-States,<=50K
53,Private,326813,HS-grad,9,Divorced,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
29,Federal-gov,93532,HS-grad,9,Divorced,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
26,Private,34661,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
70,Local-gov,216373,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,2228,0,40,United-States,<=50K
40,Private,179962,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,48,United-States,<=50K
51,Private,201277,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,Guatemala,<=50K
57,Local-gov,195726,10th,6,Widowed,Other-service,Husband,White,Female,0,0,24,United-States,<=50K
50,Private,133103,Assoc-voc,11,Divorced,Tech-support,Husband,White,Female,0,0,64,United-States,<=50K
24,Private,308195,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,48,United-States,>50K
51,Private,158601,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,United-States,<=50K
32,Private,128263,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Federal-gov,42367,Bachelors,13,Never-married,Prof-specialty,Husband,White,Female,0,0,60,United-States,<=50K
27,Private,224546,HS-grad,9,Married-spouse-absent,Adm-clerical,Husband,White,Female,0,0,40,Jamaica,<=50K
